+---+---+---+---+---+----------------------+-----------------------------------------+-----------------------------------------+-------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------+
| A | B | C | D | E | ( not ( C and  D ) )
 | ( not ( B and  ( not ( C and  D ) ) ) )
 | ( not ( ( not ( C and  D ) ) and  E ) )
 | ( not ( ( not ( 0 and  C ) ) and  ( not ( B and  ( not ( C and  D ) ) ) ) ) )
 | ( not ( ( not ( 0 and  ( not ( 0 and  D ) ) ) ) and  ( not ( ( not ( C and  D ) ) and  E ) )  ) )
 |  ( not ( ( not ( A and  C ) ) and  ( not ( B and  ( not ( C and  D ) ) ) ) ) ) 
 |  ( not ( ( not ( B and  ( not ( C and  D ) ) ) ) and  ( not ( ( not ( C and  D ) ) and  E ) )  ) ) |
+---+---+---+---+---+----------------------+-----------------------------------------+-----------------------------------------+-------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------+
| 0 | 0 | 0 | 0 | 0 |          1           |                    1                    |                    1                    |                                       0                                       |                                                 0                                                 |                                        0                                        |                                                 0                                                  |
| 0 | 0 | 0 | 0 | 1 |          1           |                    1                    |                    0                    |                                       0                                       |                                                 1                                                 |                                        0                                        |                                                 1                                                  |
| 0 | 0 | 0 | 1 | 0 |          1           |                    1                    |                    1                    |                                       0                                       |                                                 0                                                 |                                        0                                        |                                                 0                                                  |
| 0 | 0 | 0 | 1 | 1 |          1           |                    1                    |                    0                    |                                       0                                       |                                                 1                                                 |                                        0                                        |                                                 1                                                  |
| 0 | 0 | 1 | 0 | 0 |          1           |                    1                    |                    1                    |                                       0                                       |                                                 0                                                 |                                        0                                        |                                                 0                                                  |
| 0 | 0 | 1 | 0 | 1 |          1           |                    1                    |                    0                    |                                       0                                       |                                                 1                                                 |                                        0                                        |                                                 1                                                  |
| 0 | 0 | 1 | 1 | 0 |          0           |                    1                    |                    1                    |                                       0                                       |                                                 0                                                 |                                        0                                        |                                                 0                                                  |
| 0 | 0 | 1 | 1 | 1 |          0           |                    1                    |                    1                    |                                       0                                       |                                                 0                                                 |                                        0                                        |                                                 0                                                  |
| 0 | 1 | 0 | 0 | 0 |          1           |                    0                    |                    1                    |                                       1                                       |                                                 0                                                 |                                        1                                        |                                                 1                                                  |
| 0 | 1 | 0 | 0 | 1 |          1           |                    0                    |                    0                    |                                       1                                       |                                                 1                                                 |                                        1                                        |                                                 1                                                  |
| 0 | 1 | 0 | 1 | 0 |          1           |                    0                    |                    1                    |                                       1                                       |                                                 0                                                 |                                        1                                        |                                                 1                                                  |
